# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3327
#@/user_id	d2fd4d0f-a2d6-48c2-a75c-fbbe5f221165
a 	啊	c=2 d=0.0946542 t=3327
li shi 	歷史	c=1 d=7.93022e-08 t=3327
li yi 	利益	c=1 d=4.85744e-06 t=3327
lian 	聯	c=1 d=4.51812e-07 t=3327
lian he 	聯合	c=1 d=5.47674e-06 t=3327
lian xu 	連續	c=1 d=3.02859e-07 t=3327
liang 	兩	c=2 d=0.00743272 t=3327
liang ceng 	兩層	c=1 d=9.80532e-05 t=3327
liang ge 	兩個	c=3 d=0.0631184 t=3327
liang tiao 	兩條	c=1 d=0.278037 t=3327
liang zhi xian 	兩直線	c=1 d=3.43125e-05 t=3327
lie biao 	列表	c=1 d=1.98e-07 t=3327
ling sheng 	鈴聲	c=1 d=5.06876e-07 t=3327
liu cheng 	流程	c=2 d=0.0030127 t=3327
liu lan qi 	瀏覽器	c=1 d=0.000518277 t=3327
liu shui xian 	流水線	c=2 d=0.032212 t=3327
liu xia 	留下	c=1 d=3.83023e-05 t=3327
lu 	錄	c=5 d=3.26272 t=3327
lu jing 	路徑	c=1 d=1.46657e-05 t=3327
luan xu 	亂序	c=1 d=1.33711e-06 t=3327
luo ji 	邏輯	c=1 d=0.0031042 t=3327
lv mao 	綠帽	c=0 d=0.0882497 t=3327
ma 	嗎	c=3 d=1.59619 t=3327
ma 	碼	c=4 d=1.67329e-06 t=3327
ma bao guo 	马保国	c=1 d=1.36083e-07 t=3327
ma ke 	馬克	c=0 d=0.0268474 t=3327
ma nong 	碼農	c=1 d=1.5535e-06 t=3327
ma pi 	馬屁	c=1 d=4.34096e-07 t=3327
mai 	買	c=1 d=6.25321e-07 t=3327
mei 	美	c=1 d=6.28456e-07 t=3327
mei ci 	每次	c=3 d=0.277535 t=3327
mei ge 	每個	c=3 d=0.000200167 t=3327
mei ge dian 	每個點	c=1 d=7.48518e-05 t=3327
mei guo 	美國	c=1 d=0.666977 t=3327
mei hua 	美化	c=1 d=0.38868 t=3327
mei yi ge 	每一個	c=1 d=0.99005 t=3327
mei you 	沒有	c=14 d=0.471445 t=3327
mei you shen me 	沒有什麼	c=2 d=1.9034e-06 t=3327
mei you wen ti 	沒有問題	c=0 d=7.22896e-08 t=3327
mei you xian shi hao 	沒有顯示好	c=1 d=7.08582e-07 t=3327
mi ma 	密碼	c=2 d=3.14609e-06 t=3327
mian 	免	c=0 d=1.80056e-08 t=3327
mian 	麪	c=1 d=9.78167e-06 t=3327
mian deng lu 	免登錄	c=1 d=1.80958e-07 t=3327
mian fei 	免費	c=1 d=6.60678e-07 t=3327
miao shu 	描述	c=2 d=1.09514e-05 t=3327
min zhu zheng zhi 	民主政治	c=0 d=7.375e-08 t=3327
ming 	名	c=2 d=0.00796131 t=3327
ming ling 	命令	c=1 d=0.000380129 t=3327
ming ling hang 	命令行	c=1 d=3.94755e-07 t=3327
ming ming 	命名	c=2 d=0.450441 t=3327
ming zhong 	命中	c=1 d=0.00621991 t=3327
ming zi 	名字	c=2 d=8.15593e-07 t=3327
mo ban 	模板	c=2 d=0.000258796 t=3327
mo hu 	模糊	c=1 d=4.55174e-06 t=3327
mo kuai 	模塊	c=2 d=0.0271139 t=3327
mo ren 	默認	c=4 d=0.247667 t=3327
mo shi 	模式	c=1 d=0.00115345 t=3327
mo xing 	模型	c=4 d=2.54497 t=3327
mo zhao 	摸着	c=0 d=1.08384e-07 t=3327
mo zhao e si tou 	摸着餓死頭	c=1 d=1.08927e-06 t=3327
mu di 	目的	c=1 d=0.161218 t=3327
mu lu 	目錄	c=12 d=1.4487 t=3327
na 	哪	c=1 d=8.23115e-05 t=3327
na ge 	那個	c=2 d=0.00244613 t=3327
na li 	哪裏	c=1 d=8.82948e-07 t=3327
na me 	那麼	c=1 d=2.09701e-06 t=3327
na tiao 	那條	c=1 d=1.91157e-05 t=3327
na xie 	哪些	c=1 d=3.75439e-05 t=3327
nan du 	難度	c=1 d=0.00228818 t=3327
nan ren 	男人	c=1 d=1.92148e-07 t=3327
ne zha zhi mo tong jiang shi 	哪吒之魔童降世	c=3 d=5.32129e-07 t=3327
nei 	內	c=1 d=0.170333 t=3327
nei cun 	內存	c=6 d=0.599066 t=3327
nei he 	內核	c=2 d=9.13525e-07 t=3327
nei rong 	內容	c=1 d=0.0105672 t=3327
neng fou 	能否	c=1 d=1.47417e-07 t=3327
neng gou 	能夠	c=1 d=0.00216573 t=3327
neng liang 	能量	c=2 d=0.00165973 t=3327
neng liang zui di 	能量最低	c=1 d=1.28801e-07 t=3327
neng yuan 	能源	c=1 d=2.4001e-06 t=3327
ni 	你	c=6 d=0.00133722 t=3327
ni de 	你的	c=2 d=0.00040826 t=3327
ni ha 	你哈	c=1 d=1.25924e-06 t=3327
ni ha ou 	你哈偶	c=1 d=5.99353e-08 t=3327
ni hao 	你好	c=12 d=4.00723 t=3327
ni hao shi jie 	你好世界	c=1 d=0.40657 t=3327
ni hao shi shei 	你好是誰	c=1 d=2.30599e-06 t=3327
ni he 	擬合	c=28 d=0.541223 t=3327
ni hui 	你會	c=1 d=0.546074 t=3327
ni jiu 	你就	c=1 d=2.10752e-06 t=3327
ni ke 	你可	c=1 d=0.000575656 t=3327
ni ke yi 	你可以	c=2 d=0.000512407 t=3327
ni ming 	匿名	c=0 d=0.00175975 t=3327
ni ming de 	匿名的	c=1 d=0.0176857 t=3327
ni shi 	你是	c=1 d=1.82305e-06 t=3327
ni shi shei 	你是誰	c=5 d=0.597507 t=3327
ni yao 	你要	c=2 d=0.000944441 t=3327
ni ye 	你也	c=2 d=0.00968193 t=3327
ni you 	你有	c=3 d=0.00168002 t=3327
ni zai 	你在	c=0 d=1.00051e-07 t=3327
ni zai gan shen me 	你在幹什麼	c=3 d=0.600502 t=3327
ni zi 	妮子	c=1 d=8.00856e-06 t=3327
ni zi ji 	你自己	c=1 d=8.0487e-06 t=3327
nia 	孃	c=1 d=1.25296e-06 t=3327
nian ji 	年紀	c=1 d=4.8091e-06 t=3327
nong 	農	c=1 d=4.49558e-07 t=3327
nong fu 	農夫	c=1 d=2.43637e-06 t=3327
ou 	偶	c=0 d=0.00242342 t=3327
ou he du 	耦合度	c=1 d=0.00293808 t=3327
ou na ge 	偶那個	c=1 d=0.0243554 t=3327
ou ping heng gan 	偶平衡感	c=1 d=1.62921e-07 t=3327
pa 	怕	c=1 d=1.63738e-07 t=3327
pa pia 	啪啪	c=1 d=1.66212e-07 t=3327
pan duan 	判斷	c=2 d=0.0254786 t=3327
peng you 	朋友	c=0 d=2.0608e-08 t=3327
peng you tong hong 	朋友通紅	c=1 d=2.07113e-07 t=3327
pi 	批	c=2 d=0.000172858 t=3327
pi liang 	批量	c=3 d=0.000170634 t=3327
pi qi 	脾氣	c=1 d=0.000699601 t=3327
pi shu ju 	批數據	c=1 d=8.48182e-05 t=3327
pi wen jian 	批文件	c=1 d=9.56323e-05 t=3327
pian 	篇	c=1 d=0.00240549 t=3327
pian zi 	騙子	c=1 d=4.71388e-06 t=3327
piao 	票	c=1 d=2.12356e-07 t=3327
pin kun 	貧困	c=2 d=1.46533e-06 t=3327
ping guo 	蘋果	c=1 d=0.402524 t=3327
ping heng gan 	平衡感	c=0 d=1.62108e-08 t=3327
ping mu 	屏幕	c=2 d=0.782851 t=3327
po jie 	破解	c=3 d=0.369723 t=3327
qi 	七	c=2 d=8.79114e-07 t=3327
qi 	氣	c=1 d=4.52904e-06 t=3327
qi 	起	c=1 d=9.66099e-07 t=3327
qi dong 	啓動	c=2 d=8.99678e-06 t=3327
qi jian 	期間	c=2 d=3.45137e-07 t=3327
qi lai 	起來	c=2 d=0.0171709 t=3327
qi shi 	其實	c=1 d=0.254107 t=3327
qi shi 	起始	c=1 d=0.255381 t=3327
qi ta 	其他	c=2 d=0.000490885 t=3327
qian 	前	c=2 d=0.00739228 t=3327
qian hou 	前後	c=1 d=0.771052 t=3327
qian mian 	前面	c=1 d=0.00752142 t=3327
qie 	且	c=1 d=0.0123389 t=3327
qin 	覃	c=0 d=1.59695e-08 t=3327
qin ao dong 	覃奥东	c=1 d=1.60495e-07 t=3327
qin shu 	親屬	c=1 d=9.98097e-08 t=3327
qing kuang 	情況	c=3 d=0.295581 t=3327
qing zhu yi 	請注意	c=0 d=1.89287e-08 t=3327
qiu 	丘	c=1 d=2.23244e-07 t=3327
qu 	區	c=5 d=6.00758e-05 t=3327
qu 	去	c=3 d=0.244608 t=3327
qu 	取	c=2 d=5.53702e-06 t=3327
qu chu 	去除	c=1 d=4.7975e-07 t=3327
qu dong 	驅動	c=2 d=0.396531 t=3327
quan shi jie 	全世界	c=1 d=2.38813e-06 t=3327
que bao 	確保	c=1 d=0.00104891 t=3327
que ding 	確定	c=1 d=6.69045e-08 t=3327
ran hou 	然後	c=1 d=3.38074e-07 t=3327
rang ni 	讓你	c=1 d=3.64343e-05 t=3327
ren 	人	c=7 d=0.897245 t=3327
ren gong 	人工	c=1 d=0.00256704 t=3327
ren lian 	人臉	c=4 d=3.1935 t=3327
ren shu 	人數	c=1 d=5.62992e-07 t=3327
ri 	日	c=1 d=1.75515e-07 t=3327
ri ben 	日本	c=3 d=0.670327 t=3327
ri ben ren 	日本人	c=1 d=4.7375e-06 t=3327
ri shi chang 	日市場	c=1 d=1.34729e-07 t=3327
ru guo 	如果	c=6 d=0.536509 t=3327
ru xia 	如下	c=1 d=0.00357068 t=3327
ruan jian 	軟件	c=5 d=0.00122829 t=3327
san 	三	c=2 d=0.603632 t=3327
san ceng 	三層	c=2 d=0.128983 t=3327
san xin 	三心	c=1 d=1.9119e-07 t=3327
san zu 	三組	c=1 d=2.27754e-07 t=3327
sao miao 	掃描	c=2 d=0.57695 t=3327
shai 	篩	c=1 d=4.9804e-06 t=3327
shai xuan 	篩選	c=1 d=2.93149e-06 t=3327
shan lu 	山路	c=1 d=9.80699e-07 t=3327
shan quan 	山泉	c=1 d=2.44859e-06 t=3327
shang 	上	c=18 d=0.0756286 t=3327
shang ceng 	上層	c=1 d=5.3952e-06 t=3327
shang mi 	商謎	c=0 d=0.0115325 t=3327
shang mi ang 	商謎昂	c=1 d=0.115903 t=3327
shang mian 	上面	c=4 d=0.117074 t=3327
shang xue 	上學	c=1 d=9.90555e-07 t=3327
she bei 	設備	c=1 d=2.56129e-06 t=3327
she hui zhu yi 	社會主義	c=0 d=7.375e-08 t=3327
she hui zhu yi min zhu zheng zhi 	社會主義民主政治	c=1 d=7.41197e-07 t=3327
she ji 	設計	c=5 d=0.0863887 t=3327
she xiang tou 	攝像頭	c=1 d=0.582748 t=3327
she zhi 	設置	c=4 d=0.016574 t=3327
shei 	誰	c=1 d=0.486752 t=3327
shen 	神	c=3 d=9.48749e-06 t=3327
shen me 	什麼	c=3 d=0.0220445 t=3327
shen ru 	深入	c=1 d=1.41979e-06 t=3327
sheng cheng 	生成	c=5 d=0.223082 t=3327
sheng ming 	聲明	c=1 d=1.32701e-05 t=3327
sheng xia 	剩下	c=1 d=3.02077e-06 t=3327
sheng yu 	剩餘	c=1 d=6.52415e-06 t=3327
sheng zhang 	生長	c=2 d=0.461015 t=3327
shi 	市	c=1 d=2.18824e-07 t=3327
shi 	是	c=19 d=1.56303 t=3327
shi bai 	失敗	c=1 d=6.31499e-05 t=3327
shi bie 	識別	c=3 d=1.60069 t=3327
shi bu shi 	是不是	c=1 d=4.11523e-05 t=3327
shi bu shi a 	是不是啊	c=1 d=7.30162e-07 t=3327
shi chang 	市場	c=0 d=1.34057e-08 t=3327
shi chang yong 	是常用	c=1 d=1.53433e-07 t=3327
shi fou 	是否	c=2 d=0.00623832 t=3327
shi hou 	時候	c=4 d=0.0265867 t=3327
shi jian 	時間	c=1 d=0.0742681 t=3327
shi jian wen ti 	時間問題	c=1 d=0.740818 t=3327
shi jiao 	視角	c=1 d=0.790571 t=3327
shi jie 	世界	c=0 d=0.0404542 t=3327
shi li 	實例	c=1 d=3.15218e-07 t=3327
shi shei 	是誰	c=0 d=2.29449e-07 t=3327
shi shi 	實時	c=1 d=2.36437e-06 t=3327
shi shou 	是受	c=1 d=7.15582e-05 t=3327
shi tou 	石頭	c=1 d=1.09473e-06 t=3327
shi xian 	實現	c=39 d=0.347089 t=3327
shi yan 	實驗	c=1 d=0.000678925 t=3327
shi yong 	使用	c=6 d=0.00103177 t=3327
shi zai 	是在	c=1 d=1.7042e-07 t=3327
shi zhan 	實戰	c=0 d=1.01057e-07 t=3327
shi zhan jiao cheng 	實戰教程	c=1 d=1.01563e-06 t=3327
shi zhi 	市值	c=1 d=2.35258e-06 t=3327
shou dao 	受到	c=1 d=1.10307e-07 t=3327
shou shi 	手勢	c=1 d=0.474734 t=3327
shou xian 	首先	c=1 d=2.58079e-07 t=3327
shu 	數	c=15 d=0.547826 t=3327
shu 	書	c=2 d=3.02879e-06 t=3327
shu 	樹	c=3 d=0.0401964 t=3327
shu chu 	輸出	c=5 d=0.358107 t=3327
shu ju 	數據	c=92 d=2.04288 t=3327
shu ju dian 	數據點	c=3 d=0.0730586 t=3327
shu ju ji 	數據集	c=4 d=0.0440514 t=3327
shu ju jie gou 	數據結構	c=1 d=1.60884e-06 t=3327
shu ju ku 	數據庫	c=1 d=8.25245e-06 t=3327
shu liang 	數量	c=2 d=1.27527e-05 t=3327
shu ru 	輸入	c=18 d=0.265916 t=3327
shu ru fa 	輸入法	c=6 d=1.68557 t=3327
shu ru zi ti 	輸入字體	c=1 d=7.98441e-07 t=3327
shu ru zi ti de gai bian 	輸入字體的改變	c=1 d=8.31529e-07 t=3327
shu zi 	數字	c=2 d=0.0045404 t=3327
shu zu 	數組	c=2 d=0.0277344 t=3327
shui 	水	c=1 d=0.398519 t=3327
shui lian 	水連	c=1 d=2.25488e-07 t=3327
shuo 	說	c=1 d=0.163654 t=3327
shuo ming 	說明	c=1 d=0.00427488 t=3327
si 	思	c=1 d=1.09738e-05 t=3327
si 	死	c=2 d=0.0269351 t=3327
si le 	死了	c=0 d=0.00141931 t=3327
si xiang 	思想	c=2 d=0.00867748 t=3327
si xiang nei rong 	思想內容	c=0 d=1.89287e-08 t=3327
si xiang xia 	思想下	c=1 d=0.000252273 t=3327
sou 	搜	c=1 d=1.32381e-06 t=3327
sou suo 	搜索	c=5 d=0.392301 t=3327
sou you 	搜遊	c=1 d=0.00585769 t=3327
suan chu 	算出	c=1 d=0.289384 t=3327
suan fa 	算法	c=16 d=0.288063 t=3327
sui ran 	雖然	c=1 d=0.000100535 t=3327
suo 	所	c=4 d=0.00509917 t=3327
suo 	索	c=1 d=0.00588705 t=3327
suo you 	所有	c=20 d=0.836118 t=3327
ta 	他	c=1 d=0.000561443 t=3327
ta 	它	c=1 d=0.177284 t=3327
ta de 	他的	c=1 d=1.62893e-05 t=3327
tai 	臺	c=1 d=4.45085e-07 t=3327
tai wan 	臺灣	c=1 d=8.19149e-07 t=3327
te shu 	特殊	c=1 d=1.1086e-07 t=3327
teng fei 	騰飛	c=0 d=7.61927e-09 t=3327
ti 	體	c=1 d=0.00474815 t=3327
ti du 	梯度	c=2 d=1.67473 t=3327
ti gong 	提供	c=2 d=0.000363719 t=3327
ti gong le 	提供了	c=1 d=0.000187825 t=3327
ti huan 	替換	c=2 d=0.905154 t=3327
ti qu 	提取	c=2 d=0.00497474 t=3327
ti xi 	體系	c=1 d=0.891366 t=3327
tian 	天	c=1 d=0.882497 t=3327
tian chong 	填充	c=3 d=0.101826 t=3327
tian jia 	添加	c=1 d=0.647265 t=3327
tiao jian 	條件	c=1 d=0.000593188 t=3327
tiao shi 	調試	c=2 d=0.000899027 t=3327
tiao xuan 	挑選	c=35 d=0.76824 t=3327
tiao xuan an 	挑選按	c=1 d=3.56267e-06 t=3327
tiao xuan chu lai 	挑選出來	c=1 d=0.000281606 t=3327
tiao xuan dian 	挑選點	c=1 d=3.9272e-05 t=3327
tiao zhuan 	跳轉	c=2 d=7.18049e-07 t=3327
tong guo 	通過	c=7 d=0.34176 t=3327
tong hong 	通紅	c=0 d=2.0608e-08 t=3327
tong shi 	同時	c=1 d=0.00224287 t=3327
tong yong 	通用	c=4 d=0.942183 t=3327
tong zhi 	通知	c=1 d=5.04348e-07 t=3327
tou 	頭	c=1 d=7.88029e-06 t=3327
tu 	圖	c=10 d=2.93116 t=3327
tu wen jian 	圖文件	c=1 d=5.82947e-05 t=3327
tu xing 	圖形	c=1 d=2.96811e-05 t=3327
tui jian 	推薦	c=2 d=1.79139e-06 t=3327
wa ha ha 	娃哈哈	c=1 d=2.42422e-06 t=3327
wa kuang 	挖礦	c=1 d=1.04656e-06 t=3327
wan cheng 	完成	c=3 d=0.00246 t=3327
wan quan shi 	完全是	c=1 d=1.07843e-06 t=3327
wan zheng 	完整	c=1 d=0.00217658 t=3327
wang ba 	網吧	c=0 d=9.18981e-08 t=3327
wang luo 	網絡	c=2 d=0.391702 t=3327
wang luo bao 	網絡包	c=1 d=2.5358e-06 t=3327
wang pai 	王牌	c=2 d=2.06199e-06 t=3327
wang pan 	網盤	c=2 d=3.10704e-06 t=3327
wang su 	網速	c=0 d=1.33388e-08 t=3327
wei 	爲	c=13 d=1.35741 t=3327
wei da 	偉大	c=1 d=8.09042e-08 t=3327
wei ruan 	微軟	c=1 d=0.913931 t=3327
wei shen me 	爲什麼	c=1 d=8.46281e-08 t=3327
wen 	問	c=0 d=0.0946485 t=3327
wen 	文	c=1 d=5.64353e-06 t=3327
wen cheng 	文成	c=1 d=0.000623601 t=3327
wen dang 	文檔	c=2 d=0.000514316 t=3327
wen du 	溫度	c=2 d=1.57017e-06 t=3327
wen hua 	文化	c=1 d=4.57456e-06 t=3327
wen jian 	文件	c=36 d=4.58698 t=3327
wen jian jia 	文件夾	c=2 d=0.0103085 t=3327
wen ti 	問題	c=5 d=1.64942 t=3327
wen ti jiao du 	問題角度	c=1 d=8.56853e-07 t=3327
wen zhang 	文章	c=1 d=8.29523e-08 t=3327
wen zi 	文字	c=1 d=1.40227e-07 t=3327
wo 	我	c=2 d=0.0315134 t=3327
wo 	臥	c=1 d=5.19707e-07 t=3327
wo bu shi yao shen 	我不是药神	c=1 d=1.7561e-07 t=3327
wo bu zhi dao 	我不知道	c=1 d=8.4206e-08 t=3327
wo de 	我的	c=0 d=7.30162e-08 t=3327
wo de shu ru fa 	我的輸入法	c=1 d=7.33822e-07 t=3327
wo hai shi 	我還是	c=1 d=9.25978e-08 t=3327
wo men 	我們	c=8 d=0.00677084 t=3327
wo ren wei 	我認爲	c=1 d=0.000218221 t=3327
wo xiang 	我想	c=1 d=8.85233e-08 t=3327
wo ya 	我呀	c=1 d=0.000418012 t=3327
wo yao 	我要	c=1 d=8.50523e-08 t=3327
wo ye 	我也	c=1 d=0.000665481 t=3327
wo yong 	我用	c=1 d=0.000345679 t=3327
wu li 	物理	c=1 d=1.36765e-07 t=3327
wu ming zhi bei 	无名之辈	c=1 d=1.67883e-07 t=3327
wu qiong 	無窮	c=0 d=1.78264e-08 t=3327
xi 	吸	c=1 d=4.50645e-06 t=3327
xi jie 	細節	c=1 d=9.68434e-06 t=3327
xi tong 	系統	c=4 d=1.3576 t=3327
xia 	下	c=6 d=1.23064 t=3327
xia yi ci 	下一次	c=1 d=0.0111647 t=3327
xia zai 	下載	c=3 d=2.13126e-06 t=3327
xian 	先	c=1 d=2.55468e-05 t=3327
xian 	線	c=1 d=2.56748e-05 t=3327
xian 	縣	c=1 d=2.21023e-07 t=3327
xian 	閒	c=1 d=0.511709 t=3327
xian cheng 	線程	c=1 d=0.585669 t=3327
xian shi 	顯示	c=7 d=0.000113565 t=3327
xian shi qi 	顯示器	c=4 d=2.6238e-06 t=3327
xian shi qi de 	顯示器的	c=1 d=6.84211e-07 t=3327
xian shi wen ti 	顯示問題	c=1 d=9.00784e-07 t=3327
xian shi xiao guo 	顯示效果	c=1 d=6.8764e-07 t=3327
xian xiang 	現象	c=1 d=4.59749e-06 t=3327
xian zai 	現在	c=4 d=0.284538 t=3327
xian zhi zai 	限制在	c=1 d=0.0241131 t=3327
xiang dui 	相對	c=1 d=7.71314e-05 t=3327
xiang gang 	香港	c=1 d=8.10998e-07 t=3327
xiang guan 	相關	c=5 d=0.0632832 t=3327
xiang mu 	項目	c=2 d=0.000206787 t=3327
xiang nian 	想念	c=1 d=4.35146e-06 t=3327
xiang shang 	向上	c=1 d=0.231078 t=3327
xiang si 	相似	c=1 d=4.32975e-06 t=3327
xiang tu 	相圖	c=12 d=0.988684 t=3327
xiang xia 	向下	c=1 d=0.227638 t=3327
xiang xiang dao 	想象到	c=1 d=0.0185924 t=3327
xiang yang 	襄陽	c=2 d=1.07378e-06 t=3327
xiang yao 	想要	c=2 d=0.000205493 t=3327
xiao 	小	c=3 d=0.00155427 t=3327
xiao 	笑	c=1 d=4.39519e-06 t=3327
xiao de 	小的	c=1 d=1.39528e-07 t=3327
xiao guo 	效果	c=5 d=0.155079 t=3327
xiao shi 	小時	c=1 d=0.000689186 t=3327
xie 	些	c=1 d=0.08291 t=3327
xie 	寫	c=6 d=0.0282227 t=3327
xie dong 	邪冬	c=1 d=8.63377e-08 t=3327
xie le 	寫了	c=1 d=0.008396 t=3327
xie lv 	斜率	c=5 d=0.321699 t=3327
xie ru 	寫入	c=2 d=1.12041 t=3327
xie si le 	寫死了	c=1 d=0.0142642 t=3327
xin 	心	c=2 d=0.074048 t=3327
xin 	新	c=1 d=1.21593e-06 t=3327
xin de 	新的	c=3 d=1.74459e-06 t=3327
xin li 	心理	c=1 d=1.27827e-06 t=3327
xin xi 	信息	c=4 d=0.231791 t=3327
xing 	星	c=2 d=0.400517 t=3327
xing 	行	c=1 d=0.000357992 t=3327
xing bie 	性別	c=3 d=6.10064e-07 t=3327
xing cheng 	形成	c=1 d=1.2375e-07 t=3327
xing li 	行禮	c=2 d=1.51624e-06 t=3327
xing ming 	姓名	c=3 d=6.05069e-07 t=3327
xing rong 	形容	c=1 d=1.81396e-06 t=3327
xing shi 	形式	c=1 d=0.14808 t=3327
xing zhuang 	形狀	c=2 d=0.0434737 t=3327
xiu gai 	修改	c=1 d=0.000325548 t=3327
xiu zheng 	修正	c=3 d=2.48453e-05 t=3327
xu 	虛	c=1 d=0.000190664 t=3327
xu yao 	需要	c=4 d=0.648087 t=3327
xuan 	選	c=1 d=5.00537e-06 t=3327
xuan qu 	選取	c=1 d=0.000184106 t=3327
xuan xiang 	選項	c=1 d=0.000599149 t=3327
xuan ze 	選擇	c=4 d=0.025618 t=3327
xue 	學	c=4 d=0.403814 t=3327
xue ji 	學籍	c=1 d=3.7363e-07 t=3327
xue li 	學歷	c=1 d=9.93119e-08 t=3327
xun lian ying 	訓練營	c=1 d=3.71766e-07 t=3327
ya hei 	雅黑	c=2 d=1.865 t=3327
yan se 	顏色	c=2 d=0.831113 t=3327
yan shi 	演示	c=2 d=0.78596 t=3327
yan zheng 	驗證	c=3 d=1.52334e-06 t=3327
yan zheng ma 	驗證碼	c=3 d=1.71788e-06 t=3327
yao 	要	c=5 d=0.587448 t=3327
yao du qu 	要讀取	c=1 d=0.0127784 t=3327
yao qiu 	要求	c=5 d=0.448308 t=3327
yao zen yang 	要怎樣	c=1 d=1.80491e-06 t=3327
ye 	也	c=1 d=2.40113e-05 t=3327
ye 	頁	c=1 d=0.235746 t=3327
ye mei you wen ti 	也沒有問題	c=1 d=7.2652e-07 t=3327
ye shi 	也是	c=1 d=0.00634556 t=3327
yi 	一	c=11 d=0.15804 t=3327
yi 	以	c=4 d=0.252605 t=3327
yi chang 	宜昌	c=4 d=1.37735e-06 t=3327
yi chang 	異常	c=1 d=4.27633e-07 t=3327
yi chang dong 	宜昌東	c=2 d=6.68314e-07 t=3327
yi ci 	一次	c=2 d=0.00705097 t=3327
yi dian 	一點	c=1 d=0.000335463 t=3327
yi duan 	一段	c=1 d=0.000553095 t=3327
yi ge 	一個	c=33 d=1.05213 t=3327
yi gong 	一共	c=2 d=0.460787 t=3327
yi he 	一盒	c=1 d=2.02978e-05 t=3327
yi ji 	以及	c=3 d=0.0996933 t=3327
yi jing 	已經	c=4 d=0.0117117 t=3327
yi jiu 	依舊	c=1 d=0.000808767 t=3327
yi lai 	依賴	c=2 d=0.0538345 t=3327
yi qi 	一起	c=1 d=1.95524e-06 t=3327
yi qun 	一羣	c=1 d=0.000175127 t=3327
yi shang 	以上	c=2 d=9.39223e-05 t=3327
yi shi 	逸事	c=1 d=1.37451e-07 t=3327
yi tiao 	一條	c=3 d=0.22241 t=3327
yi xia 	一下	c=0 d=8.85233e-09 t=3327
yi xie 	一些	c=8 d=0.155589 t=3327
yi zhi 	一直	c=1 d=1.14809e-07 t=3327
yi zhong 	一種	c=12 d=0.280779 t=3327
yi zu 	一組	c=7 d=0.40236 t=3327
yin 	殷	c=4 d=6.25016e-06 t=3327
yin du 	印度	c=2 d=1.43096 t=3327
yin wei 	因爲	c=2 d=0.00568606 t=3327
ying 	硬	c=2 d=6.76811e-07 t=3327
ying 	英	c=1 d=5.61539e-06 t=3327
ying gai 	應該	c=3 d=0.000585161 t=3327
ying guo 	英國	c=1 d=0.677057 t=3327
ying she 	映射	c=1 d=0.0614212 t=3327
ying wen 	英文	c=1 d=5.72883e-06 t=3327
ying xiang 	影響	c=1 d=1.63706e-07 t=3327
ying xiang jie guo 	影響結果	c=1 d=7.19291e-07 t=3327
ying yong 	應用	c=1 d=0.0188734 t=3327
ying yu 	英語	c=2 d=1.31374e-05 t=3327
yong 	用	c=15 d=0.066803 t=3327
yong bu guan 	用不慣	c=1 d=0.000696112 t=3327
yong cuo le 	用錯了	c=1 d=0.008271 t=3327
yong dao 	用到	c=1 d=0.000391706 t=3327
yong de 	用的	c=2 d=0.000311232 t=3327
yong hu 	用戶	c=3 d=0.0956631 t=3327
yong lai 	用來	c=9 d=0.0750652 t=3327
yong yu 	用於	c=2 d=0.162694 t=3327
you 	又	c=1 d=0.0023935 t=3327
you 	右	c=1 d=0.425283 t=3327
you 	有	c=12 d=1.52098 t=3327
you bian 	右邊	c=1 d=4.95556e-06 t=3327
you dao 	有道	c=1 d=1.29759e-06 t=3327
you dian 	有點	c=2 d=0.0012139 t=3327
you hen duo 	有很多	c=1 d=0.000446085 t=3327
you hua 	優化	c=3 d=0.00809852 t=3327
you xian zhuang tai 	有限状态	c=0 d=1.78264e-08 t=3327
you xian zhuang tai wu qiong ji 	有限状态無窮機	c=1 d=1.79158e-07 t=3327
you xiao 	有效	c=3 d=0.310332 t=3327
you yong 	游泳	c=1 d=8.93978e-06 t=3327
you yuan 	友元	c=1 d=0.00398587 t=3327
yu 	於	c=2 d=0.0235857 t=3327
yu 	與	c=3 d=0.0058211 t=3327
yu fa 	語法	c=1 d=2.05052e-07 t=3327
yu yan 	語言	c=3 d=0.174081 t=3327
yu yi 	語義	c=1 d=0.0246002 t=3327
yu yin 	語音	c=1 d=0.373439 t=3327
yuan 	元	c=1 d=0.0317456 t=3327
yuan 	袁	c=2 d=5.47207e-07 t=3327
yuan 	遠	c=2 d=2.20255e-05 t=3327
yuan ben 	原本	c=2 d=0.372616 t=3327
yuan li 	原理	c=2 d=0.753511 t=3327
yuan ma 	源碼	c=2 d=0.211189 t=3327
yuan teng fei 	元騰飛	c=2 d=5.44478e-07 t=3327
yuan ze 	原則	c=1 d=1.29446e-07 t=3327
yue 	月	c=1 d=1.13941e-06 t=3327
yue ding 	約定	c=2 d=1.88451e-06 t=3327
yue nan 	越南	c=2 d=1.41672 t=3327
yun dan feng qing 	雲淡風輕	c=1 d=5.10648e-06 t=3327
yun xing 	運行	c=6 d=0.00422714 t=3327
yun xu 	允許	c=1 d=0.00118265 t=3327
zai 	再	c=7 d=0.00011676 t=3327
zai 	在	c=40 d=1.46873 t=3327
